"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2021-09-24,"Undisclosed_or_missing",456,191,0,0,0,.0000,.0000,.0000
2021-09-25,"12-17yrs",601157,524055,0,0,961857,.6250,.5448,.0000
2021-09-25,"18-29yrs",2011748,1768219,0,0,2454802,.8195,.7203,.0000
2021-09-25,"30-39yrs",1742953,1581359,0,0,2077137,.8391,.7613,.0000
2021-09-25,"40-49yrs",1606604,1501302,0,0,1855340,.8659,.8092,.0000
2021-09-25,"50-59yrs",1758168,1676426,0,0,2019276,.8707,.8302,.0000
2021-09-25,"60-69yrs",1747396,1693319,0,0,1813493,.9636,.9337,.0000
2021-09-25,"70-79yrs",1198213,1175096,0,0,1181151,.9999,.9949,.0000
2021-09-25,"80+",746124,732630,0,0,674976,.9999,.9999,.0000
2021-09-25,"Adults_18plus",10811206,10128351,0,0,12076175,.8953,.8387,.0000
2021-09-25,"Ontario_12plus",11412363,10652406,0,0,13038032,.8753,.8170,.0000
2021-09-25,"Undisclosed_or_missing",458,195,0,0,0,.0000,.0000,.0000
2021-09-26,"12-17yrs",602811,527778,0,0,961857,.6267,.5487,.0000
2021-09-26,"18-29yrs",2015524,1776510,0,0,2454802,.8211,.7237,.0000
2021-09-26,"30-39yrs",1745700,1586466,0,0,2077137,.8404,.7638,.0000
2021-09-26,"40-49yrs",1608448,1504482,0,0,1855340,.8669,.8109,.0000
2021-09-26,"50-59yrs",1759520,1678765,0,0,2019276,.8714,.8314,.0000
2021-09-26,"60-69yrs",1748057,1694476,0,0,1813493,.9639,.9344,.0000
2021-09-26,"70-79yrs",1198367,1175478,0,0,1181151,.9999,.9952,.0000
2021-09-26,"80+",746072,732658,0,0,674976,.9999,.9999,.0000
2021-09-26,"Adults_18plus",10821688,10148835,0,0,12076175,.8961,.8404,.0000
